neighborhood,zipCode,Unnamed: 0_x,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,bedRoomNumber,baths,rent,sqft,availability,deposit,leaseLength
Seattle,98144,727.0,,,74.0,89.0,10507.0,2.0,1.0,1695.0,750.0,1.0,,
Seattle,98148,297.0,,1.0,48.0,,8210.0,1.6,1.0,1228.0,585.0,1.0,,
Seattle,98155,675.0,,,44.0,48.0,10069.0,2.0,1.0,1785.0,1090.0,1.0,,
Seattle,98188,663.0,,,47.0,56.0,10014.0,2.0,1.0,1460.0,976.0,1.0,400.0,
Seattle,98198,343.0,,3.0,31.0,55.0,8496.5,2.0,1.5,1645.0,926.25,1.0,,
Seaview Seattle,98136,689.0,,,80.0,50.0,10226.0,2.0,2.0,2103.0,1012.0,1.0,,
Seward Park,98118,555.5,,,74.0,43.0,9730.0,1.0,1.0,1450.0,625.0,1.0,1000.0,12.0
Sheridan Beach,98155,300.15384615384613,4.0,1.0,45.46153846153846,,7676.5,1.6538461538461537,1.5,1765.1363636363637,910.1153846153846,1.0,,
Shoreline,98133,205.0,,6.0,77.0,52.0,6221.5,1.5,1.0,1688.3333333333333,782.1666666666666,1.0,,
South Delridge,98106,119.73913043478261,,11.911111111111111,49.0,50.47826086956522,3949.1304347826085,1.608695652173913,1.1195652173913044,1807.0681818181818,884.3777777777777,1.0,,
South Lake Union,98102,303.0,,3.0,79.0,63.0,8292.0,2.0,1.0,2472.0,841.0,1.0,,
South Lake Union,98109,213.6074168797954,4.758157389635317,6.163147792706334,96.05242966751918,88.81393861892583,4753.779411764706,1.2915601023017902,1.2796284433055733,2967.4271099744246,791.8925806451613,1.0,,
South Park,98108,504.0,,,74.0,41.0,9589.0,1.0,1.0,1395.0,525.0,,1000.0,12.0
Southern Heights-Boulevard Park,98168,300.0659340659341,,10.802197802197803,34.61538461538461,35.0,6058.626373626374,1.7032967032967032,1.2857142857142858,1674.4395604395604,867.7527472527472,1.0,,
Stevens,98112,228.0,4.9411764705882355,2.0,90.36538461538461,69.4423076923077,5868.653846153846,1.1153846153846154,1.125,1488.6666666666667,443.9807692307692,1.0,3300.0,12.0
Stevens,98122,277.92857142857144,5.0,1.2777777777777777,97.0,76.5,7234.142857142857,1.0476190476190477,1.0476190476190477,1564.8636363636363,482.1219512195122,1.0,,
Tukwila Urban Center,98188,239.23809523809524,5.0,1.0,58.333333333333336,47.904761904761905,5198.119047619048,1.5952380952380953,1.6726190476190477,3023.8571428571427,1078.625,1.0,,
University District,98105,207.62229102167183,4.711764705882353,2.460431654676259,96.10835913312694,80.9876160990712,5544.1547987616095,1.3962848297213621,1.173374613003096,1936.356862745098,598.5807453416149,1.0,1130.0,10.5
Wallingford,98103,192.11111111111111,5.0,2.72,78.7948717948718,60.55555555555556,5683.504273504273,1.2564102564102564,1.1666666666666667,2531.039603960396,746.5897435897435,1.0,,6.0
Wallingford,98105,189.6153846153846,4.0,,89.84615384615384,78.46153846153847,5874.076923076923,1.2307692307692308,1.2307692307692308,1999.75,665.0,,2000.0,12.0
Wedgewood,98115,387.962962962963,,4.0,69.03703703703704,51.99326599326599,6620.1447811447815,1.0168350168350169,1.0134680134680134,1149.4150197628458,266.5723905723906,1.0,1000.0,
West Seattle,98116,119.0,,,98.0,54.0,4088.5,1.0,1.0,2025.5,652.6666666666666,1.0,,
West Seattle,98126,258.86486486486484,,1.6486486486486487,77.24324324324324,57.108108108108105,7311.648648648648,1.2432432432432432,1.027027027027027,1550.9545454545455,668.8108108108108,1.0,,
West Woodland,98107,311.68,,2.0,95.24,56.0,7593.32,1.68,1.48,2491.25,896.68,1.0,,
Westlake,98109,118.3225806451613,5.0,4.733333333333333,75.3763440860215,73.58064516129032,3578.3172043010754,1.2795698924731183,1.1666666666666667,2358.9205298013244,758.744623655914,1.0,1191.6666666666667,12.0
White Center,98146,338.0,2.0,,62.0,,8477.0,1.4,1.0,1150.2,698.8,1.0,,
Whittier Heights,98117,304.39130434782606,5.0,2.0,88.30434782608695,53.0,7721.739130434783,1.173913043478261,1.1304347826086956,1771.9130434782608,677.4565217391304,1.0,1200.0,12.0
