neighborhood,zipCode,bedRoomNumber,Unnamed: 0_x,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,baths,rent,sqft,availability,deposit,leaseLength
Madison Park,98112,1,477.5,,,80.5,33.0,9508.0,1.0,1922.5,475.5,,1375.0,12.0
Madison Park,98112,2,666.0,,,57.0,33.0,10017.0,2.0,2995.0,1006.0,1.0,,
Madison Park,98112,3,628.0,,,81.0,33.0,9885.0,2.0,6700.0,2560.0,1.0,6700.0,
Magnolia,98199,1,503.5,,,65.5,49.0,9540.5,1.0,1795.0,914.0,1.0,1272.5,12.0
Magnolia,98199,3,440.0,,,67.0,39.0,9332.0,3.5,4400.0,1980.0,,4400.0,12.0
Mann,98112,3,579.0,,,90.0,57.0,9766.0,2.0,3250.0,1200.0,1.0,1500.0,12.0
Mann,98122,1,412.5,5.0,,89.0,66.0,6944.0,1.0,1081.1666666666667,191.58333333333334,1.0,,
Maple Leaf,98115,1,202.0,,2.0,61.0,52.0,6209.0,1.0,1395.0,708.0,1.0,,
Maple Leaf,98115,2,582.0,,,57.0,59.0,9831.0,1.0,3000.0,1000.0,,3500.0,
Maple Leaf,98115,3,688.0,,,61.5,51.5,10205.5,2.5,2945.0,1620.0,1.0,,
Maple Leaf,98125,1,189.5891089108911,,3.985148514851485,91.60396039603961,62.227722772277225,4804.524752475248,1.0024752475247525,1633.4766355140187,606.0420792079208,1.0,,
Maple Leaf,98125,2,212.46938775510205,4.0,2.5813953488372094,91.3265306122449,62.816326530612244,5199.448979591837,1.8571428571428572,2529.181818181818,988.5714285714286,1.0,,
Minor,98122,1,170.35087719298247,4.9855072463768115,3.474747474747475,94.80701754385964,81.10526315789474,4900.900584795321,1.0146198830409356,1736.7865168539327,577.1627218934912,1.0,775.0,12.0
Minor,98122,2,164.55,5.0,3.875,94.06666666666666,86.81666666666666,4798.016666666666,1.7333333333333334,2614.5405405405404,906.025,1.0,2350.0,12.0
Minor,98122,3,259.14285714285717,,5.333333333333333,92.71428571428571,84.28571428571429,6291.714285714285,2.0,3492.0,1216.357142857143,1.0,,
Minor,98122,4,710.0,,,91.0,65.0,10386.0,2.5,4350.0,2000.0,1.0,,
