neighborhood,amenitytype,amenitytype
Mann,Property Information,0.07384615384615385
Mann,Security,0.07384615384615385
Mann,Unique Features,0.07384615384615385
Mann,Lease Length,0.0007692307692307692
Mann,Living Space,0.0007692307692307692
Maple Leaf,Unique Features,0.23777855153203342
Maple Leaf,Kitchen,0.14655292479108636
Maple Leaf,Features,0.13513231197771589
Maple Leaf,Services,0.12555710306406687
Maple Leaf,Outdoor Space,0.09004178272980501
Maple Leaf,Interior,0.07583565459610028
Maple Leaf,Living Space,0.05501392757660167
Maple Leaf,Security,0.033983286908077996
Maple Leaf,Property Information,0.0314066852367688
Maple Leaf,Fitness & Recreation,0.030501392757660166
Maple Leaf,Pet Policy,0.023502785515320333
Maple Leaf,Lease Length,0.014623955431754874
Maple Leaf,Student Features,6.963788300835655e-05
Minor,Unique Features,0.1573587385019711
Minor,Features,0.14602496714848884
Minor,Kitchen,0.12680683311432325
Minor,Services,0.11785479632063076
Minor,Outdoor Space,0.10684954007884363
Minor,Living Space,0.09707621550591328
Minor,Interior,0.0614323258869908
Minor,Property Information,0.042706964520367936
Minor,Pet Policy,0.04196780551905387
Minor,Security,0.04163929040735874
Minor,Fitness & Recreation,0.03523324572930355
Minor,Lease Length,0.01987516425755585
Minor,Student Features,0.005174113009198423
Mt Baker,Kitchen,0.391304347826087
Mt Baker,Features,0.2608695652173913
Mt Baker,Lease Length,0.13043478260869565
Mt Baker,Interior,0.08695652173913043
Mt Baker,Services,0.08695652173913043
Mt Baker,Outdoor Space,0.043478260869565216
North Admiral,Unique Features,0.5260267430754537
North Admiral,Pet Policy,0.09742120343839542
North Admiral,Property Information,0.0725883476599809
North Admiral,Interior,0.06303724928366762
North Admiral,Kitchen,0.04632282712511939
North Admiral,Outdoor Space,0.04202483285577841
North Admiral,Features,0.0389207258834766
North Admiral,Lease Length,0.036532951289398284
North Admiral,Living Space,0.030563514804202482
North Admiral,Security,0.019102196752626553
North Admiral,Services,0.015281757402101241
North Admiral,Fitness & Recreation,0.012177650429799427
North Beach/ Blue Ridge,Unique Features,1.0
North Beacon Hill,Unique Features,0.8645050125313283
North Beacon Hill,Property Information,0.05670426065162907
North Beacon Hill,Pet Policy,0.030492898913951544
North Beacon Hill,Lease Length,0.02850877192982456
North Beacon Hill,Services,0.0045426065162907266
North Beacon Hill,Features,0.00402046783625731
North Beacon Hill,Kitchen,0.003498329156223893
North Beacon Hill,Living Space,0.002140768588137009
North Beacon Hill,Outdoor Space,0.0020363408521303257
North Beacon Hill,Fitness & Recreation,0.0014097744360902255
North Beacon Hill,Security,0.0014097744360902255
North Beacon Hill,Interior,0.0007309941520467836
North College Park,Unique Features,0.23215898825654924
North College Park,Features,0.15943992773261065
North College Park,Kitchen,0.10298102981029811
North College Park,Services,0.09439927732610659
North College Park,Living Space,0.08265582655826559
North College Park,Outdoor Space,0.07678410117434507
North College Park,Interior,0.052393857271906055
North College Park,Fitness & Recreation,0.051490514905149054
North College Park,Pet Policy,0.04697380307136405
North College Park,Property Information,0.04697380307136405
North College Park,Security,0.03523035230352303
North College Park,Lease Length,0.018518518518518517
North Delridge,Unique Features,0.31108764519535376
North Delridge,Features,0.11890179514255544
North Delridge,Services,0.08933474128827877
North Delridge,Living Space,0.07940865892291446
North Delridge,Interior,0.07434002111932418
North Delridge,Kitchen,0.06948257655755016
North Delridge,Outdoor Space,0.06948257655755016
North Delridge,Fitness & Recreation,0.05448785638859557
North Delridge,Security,0.04963041182682154
North Delridge,Pet Policy,0.03949313621964097
North Delridge,Property Information,0.029567053854276663
North Delridge,Lease Length,0.014783526927138331
Phinney Ridge,Kitchen,0.38461538461538464
Phinney Ridge,Living Space,0.23076923076923078
Phinney Ridge,Features,0.15384615384615385
Phinney Ridge,Outdoor Space,0.15384615384615385
Phinney Ridge,Unique Features,0.07692307692307693
Pike Place Market,Unique Features,0.5483448049819731
Pike Place Market,Features,0.08062930186823992
Pike Place Market,Services,0.06369496339997816
Pike Place Market,Kitchen,0.04315524964492516
Pike Place Market,Interior,0.04097017371353655
Pike Place Market,Security,0.040751666120397684
Pike Place Market,Living Space,0.04053315852725882
Pike Place Market,Fitness & Recreation,0.035070468698787285
Pike Place Market,Outdoor Space,0.03397793073309297
Pike Place Market,Property Information,0.031246585818857205
Pike Place Market,Pet Policy,0.029498525073746312
Pike Place Market,Lease Length,0.012127171419206818
Pinehurst,Unique Features,0.2542372881355932
Pinehurst,Living Space,0.1694915254237288
Pinehurst,Kitchen,0.15254237288135594
Pinehurst,Features,0.13771186440677965
Pinehurst,Outdoor Space,0.1271186440677966
Pinehurst,Pet Policy,0.04449152542372881
Pinehurst,Lease Length,0.04025423728813559
Pinehurst,Property Information,0.029661016949152543
Pinehurst,Services,0.029661016949152543
Pinehurst,Fitness & Recreation,0.014830508474576272
Pioneer Square,Unique Features,0.6567411083540116
Pioneer Square,Pet Policy,0.12324234904880066
Pioneer Square,Property Information,0.06341328921974083
Pioneer Square,Features,0.05031706644609871
Pioneer Square,Lease Length,0.03184449958643507
Pioneer Square,Interior,0.01764543700027571
Pioneer Square,Services,0.016542597187758478
Pioneer Square,Kitchen,0.012958367797077475
Pioneer Square,Outdoor Space,0.0075820237110559695
Pioneer Square,Security,0.007444168734491315
Pioneer Square,Living Space,0.006617038875103391
Pioneer Square,Fitness & Recreation,0.005652054039150814
Portage Bay,Kitchen,0.1908713692946058
Portage Bay,Features,0.17634854771784234
Portage Bay,Living Space,0.16804979253112035
Portage Bay,Outdoor Space,0.13070539419087138
Portage Bay,Services,0.0912863070539419
Portage Bay,Pet Policy,0.058091286307053944
Portage Bay,Security,0.04979253112033195
Portage Bay,Unique Features,0.03734439834024896
Portage Bay,Property Information,0.029045643153526972
Portage Bay,Fitness & Recreation,0.026970954356846474
Portage Bay,Interior,0.026970954356846474
Portage Bay,Lease Length,0.014522821576763486
Queen Anne,Unique Features,0.30792163543441226
Queen Anne,Features,0.14948892674616696
Queen Anne,Kitchen,0.10902896081771721
Queen Anne,Living Space,0.08901192504258944
Queen Anne,Outdoor Space,0.08006814310051108
Queen Anne,Services,0.06345826235093696
Queen Anne,Interior,0.04770017035775128
Queen Anne,Property Information,0.04557069846678024
Queen Anne,Pet Policy,0.041737649063032366
Queen Anne,Security,0.02512776831345826
Queen Anne,Lease Length,0.022998296422487224
Queen Anne,Fitness & Recreation,0.01788756388415673
Rainier Beach,Features,0.35714285714285715
Rainier Beach,Kitchen,0.21428571428571427
Rainier Beach,Living Space,0.14285714285714285
Rainier Beach,Outdoor Space,0.14285714285714285
Rainier Beach,Lease Length,0.07142857142857142
Rainier Beach,Property Information,0.07142857142857142
Ravenna,Kitchen,0.1510204081632653
Ravenna,Features,0.1469387755102041
Ravenna,Services,0.1346938775510204
Ravenna,Outdoor Space,0.11428571428571428
Ravenna,Living Space,0.08571428571428572
Ravenna,Pet Policy,0.08163265306122448
Ravenna,Fitness & Recreation,0.0653061224489796
Ravenna,Security,0.0653061224489796
Ravenna,Unique Features,0.053061224489795916
Ravenna,Interior,0.04897959183673469
Ravenna,Property Information,0.0326530612244898
Ravenna,Lease Length,0.02040816326530612
Renton,Features,0.2777777777777778
Renton,Kitchen,0.1388888888888889
Renton,Living Space,0.1388888888888889
Renton,Pet Policy,0.1388888888888889
Renton,Outdoor Space,0.08333333333333333
Renton,Unique Features,0.08333333333333333
Renton,Property Information,0.05555555555555555
Renton,Fitness & Recreation,0.027777777777777776
Renton,Lease Length,0.027777777777777776
Renton,Security,0.027777777777777776
Riverview,Features,0.35714285714285715
Riverview,Outdoor Space,0.25
Riverview,Kitchen,0.14285714285714285
Riverview,Lease Length,0.14285714285714285
Riverview,Living Space,0.10714285714285714
Roosevelt,Unique Features,0.2262091649846752
Roosevelt,Kitchen,0.152351050310234
Roosevelt,Features,0.13675213675213677
Roosevelt,Services,0.12010665071889562
Roosevelt,Living Space,0.07019511101143754
Roosevelt,Interior,0.06473798310533005
Roosevelt,Outdoor Space,0.0630186140390222
Roosevelt,Security,0.046099025690862425
Roosevelt,Property Information,0.046049188906331764
Roosevelt,Pet Policy,0.041040592061000226
Roosevelt,Fitness & Recreation,0.01677007799456779
Roosevelt,Lease Length,0.015773342303954548
Roosevelt,Student Features,0.0008970621215519175
Roxhill,Unique Features,0.33844765342960287
Roxhill,Features,0.12364620938628158
Roxhill,Living Space,0.1092057761732852
Roxhill,Services,0.09476534296028881
Roxhill,Kitchen,0.08393501805054152
Roxhill,Pet Policy,0.06768953068592058
Roxhill,Outdoor Space,0.05776173285198556
Roxhill,Property Information,0.04151624548736462
Roxhill,Security,0.04061371841155235
Roxhill,Interior,0.02707581227436823
Roxhill,Lease Length,0.01444043321299639
Roxhill,Fitness & Recreation,0.0009025270758122744
Seatac,Unique Features,0.3707865168539326
Seatac,Features,0.10112359550561797
Seatac,Outdoor Space,0.10112359550561797
Seatac,Services,0.10112359550561797
Seatac,Kitchen,0.0898876404494382
Seatac,Fitness & Recreation,0.06741573033707865
Seatac,Living Space,0.06741573033707865
Seatac,Pet Policy,0.033707865168539325
Seatac,Property Information,0.02247191011235955
Seatac,Security,0.02247191011235955
