neighborhood,Unnamed: 0_x,zipCode,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,bedRoomNumber,baths,rent,sqft,availability,deposit,leaseLength
Portage Bay,357.75,98102.0,5.0,,77.0,78.375,8579.25,1.125,1.0,1707.75,461.625,1.0,500.0,
Queen Anne,306.31666666666666,98112.83333333333,4.166666666666667,2.0,70.16666666666667,64.65,7152.416666666667,1.5666666666666667,1.3166666666666667,2329.8636363636365,853.6525423728814,1.0,1257.2222222222222,10.777777777777779
Rainier Beach,548.0,98178.0,,,22.5,47.0,9657.5,1.0,1.0,1545.0,475.0,1.0,775.0,6.0
Ravenna,344.6666666666667,98111.66666666667,5.0,,82.83333333333333,57.0,7464.0,1.0,1.0,1490.0,523.0,1.0,1200.0,12.0
Renton,395.0,98178.0,4.0,,37.0,,9142.0,1.3333333333333333,1.0,1230.6666666666667,673.8333333333334,1.0,,
Riverview,464.5,98106.0,,,45.5,46.0,9441.25,3.0,2.25,2750.0,1532.5,1.0,2450.0,12.0
Roosevelt,367.52285714285716,98115.0,5.0,1.509090909090909,96.18857142857142,60.597142857142856,6668.011428571429,1.1028571428571428,1.0885714285714285,1574.6753731343283,451.46,1.0,1666.6666666666667,12.0
Roxhill,409.7647058823529,98126.0,,5.0,57.294117647058826,45.8235294117647,9174.0,1.411764705882353,1.0,1670.857142857143,635.8823529411765,1.0,1200.0,3.0
Seatac,181.0,98198.0,,4.0,41.0,55.0,5990.0,2.0,1.1818181818181819,1681.3333333333333,910.0,1.0,,
Seattle,328.27241379310345,98120.64137931034,4.987654320987654,1.2885572139303483,82.96206896551725,66.74545454545455,6976.5965517241375,1.4448275862068964,1.2125435540069687,2102.3424124513617,765.0207612456747,1.0,2061.6666666666665,12.0
Seaview Seattle,689.0,98136.0,,,80.0,50.0,10226.0,2.0,2.0,2103.0,1012.0,1.0,,
Seward Park,555.5,98118.0,,,74.0,43.0,9730.0,1.0,1.0,1450.0,625.0,1.0,1000.0,12.0
Sheridan Beach,300.15384615384613,98155.0,4.0,1.0,45.46153846153846,,7676.5,1.6538461538461537,1.5,1765.1363636363637,910.1153846153846,1.0,,
Shoreline,205.0,98133.0,,6.0,77.0,52.0,6221.5,1.5,1.0,1688.3333333333333,782.1666666666666,1.0,,
South Delridge,119.73913043478261,98106.0,,11.911111111111111,49.0,50.47826086956522,3949.1304347826085,1.608695652173913,1.1195652173913044,1807.0681818181818,884.3777777777777,1.0,,
South Lake Union,213.66453674121405,98108.99552715656,4.758157389635317,6.160115052732502,96.04153354632588,88.79744408945687,4756.040255591054,1.2920127795527157,1.279449423815621,2967.0051107325385,791.9242424242424,1.0,,
South Park,504.0,98108.0,,,74.0,41.0,9589.0,1.0,1.0,1395.0,525.0,,1000.0,12.0
