,propertyName,room,costRange
337,Iron Flats,2 Bedrooms ,"2,027 - 3,069"
338,MOD Apartments,Studio ,"1,531"
339,MOD Apartments,1 Bedroom ,"1,702"
340,2900 On First,Studio ,"1,780 - 3,331"
341,2900 On First,1 Bedroom ,"1,974 - 3,789"
342,2900 On First,2 Bedrooms ,"2,840 - 4,773"
343,Skye at Belltown,Studio ,"1,381 - 2,963"
344,Skye at Belltown,1 Bedroom ,"2,163 - 3,268"
345,Skye at Belltown,2 Bedrooms ,"2,549 - 6,277"
346,Anthem on 12th,Studio ,"1,572 - 1,692"
347,Anthem on 12th,1 Bedroom ,"1,772 - 1,873"
348,Anthem on 12th,2 Bedrooms ,"2,615 - 3,182"
349,Marq 211,Studio ,"1,594 - 2,677"
350,Marq 211,1 Bedroom ,"1,696 - 2,295"
351,Marq 211,2 Bedrooms ,"2,814 - 3,219"
352,Seventh and James,C,a
353,Seventh and James,1 Bedroom ,"1,695 - 1,772"
354,Seventh and James,2 Bedrooms ,"2,289 - 2,335"
355,Springline,C,a
356,Springline,1 Bedroom ,"1,513 - 1,900"
357,Springline,2 Bedrooms ,"1,970 - 2,415"
358,Junction 47,Studio ,"1,457 - 1,612"
359,Junction 47,1 Bedroom ,"1,513 - 2,215"
360,Junction 47,2 Bedrooms ,"3,078"
361,Dimension,Studio ,"1,770 - 3,355"
362,Dimension,1 Bedroom ,"1,775 - 3,305"
363,Dimension,2 Bedrooms ,"3,515 - 5,395"
364,Medora,1 Bedroom ,"1,800"
365,Hillview,1 Bedroom ,"1,300 - 1,400"
366,Hillview,2 Bedrooms ,"1,525 - 1,600"
367,East Union,Studio ,"2,036 - 3,205"
368,East Union,1 Bedroom ,"1,938 - 3,315"
369,East Union,C,a
370,The Enclave,Studio ,"1,295 - 1,400"
371,The Enclave,1 Bedroom ,"1,448 - 1,915"
372,The Enclave,C,a
373,The Eden Apartments,C,a
374,The Eden Apartments,2 Bedrooms ,"2,600 - 2,955"
375,Haller Post,1 Bedroom ,"1,744"
376,Haller Post,2 Bedrooms ,"2,010 - 2,179"
377,Washington Terrace Senior Affordable Apart...,1 Bedroom ,"1,309"
378,Washington Terrace Senior Affordable Apart...,2 Bedrooms ,"1,562"
379,Metro on First,Studio ,"1,462 - 1,625"
380,Metro on First,1 Bedroom ,"1,867"
381,Metro on First,2 Bedrooms ,"3,693"
382,Urbana,Studio ,"1,730 - 1,810"
383,Urbana,1 Bedroom ,"1,733 - 2,306"
384,Urbana,2 Bedrooms ,"2,666 - 2,984"
385,2300 Elliott,Studio ,"1,771"
386,2300 Elliott,1 Bedroom ,"1,894 - 2,570"
387,2300 Elliott,2 Bedrooms ,"2,328 - 2,852"
388,Youngstown Flats,Studio ,"1,470 - 2,111"
389,Youngstown Flats,1 Bedroom ,"1,395 - 2,895"
390,Youngstown Flats,2 Bedrooms ,"2,148 - 3,880"
391,Coppins Well,Studio ,"1,640 - 3,335"
392,Coppins Well,1 Bedroom ,"2,050 - 4,805"
393,Coppins Well,2 Bedrooms ,"2,980 - 6,240"
394,John Winthrop Apartments,Studio ,"1,405"
395,John Winthrop Apartments,C,a
396,Taylor 28,Studio ,"1,734 - 1,924"
397,Taylor 28,1 Bedroom ,"2,209 - 2,284"
398,Taylor 28,2 Bedrooms ,"3,141 - 3,411"
399,Aspira Apartments,C,a
400,Aspira Apartments,1 Bedroom ,"1,938 - 3,548"
401,Aspira Apartments,2 Bedrooms ,"3,183 - 7,131"
402,LEVA On Market,Studio ,"1,708 - 2,449"
403,LEVA On Market,1 Bedroom ,"1,850 - 3,043"
404,LEVA On Market,2 Bedrooms ,"2,977 - 4,415"
405,Lighthouse Apartments,1 Bedroom ,"1,645 - 2,465"
406,Lighthouse Apartments,2 Bedrooms ,"1,905 - 3,255"
407,Adell Apartments,1 Bedroom ,"1,583 - 2,325"
408,Union Bay,Studio ,"1,610 - 1,909"
409,Union Bay,1 Bedroom ,"1,875 - 2,299"
410,Union Bay,2 Bedrooms ,"2,759 - 3,183"
411,Angeline Apartments,Studio ,"1,790 - 2,530"
412,Angeline Apartments,1 Bedroom ,"1,628"
413,Angeline Apartments,2 Bedrooms ,"3,355 - 4,365"
414,The Heights on Capitol Hill,Studio ,"1,652"
415,The Heights on Capitol Hill,C,a
416,The Heights on Capitol Hill,2 Bedrooms ,"3,002"
417,Rianna,Studio ,"1,365 - 1,596"
418,Rianna,1 Bedroom ,"1,785 - 1,825"
419,Rianna,2 Bedrooms ,"2,442 - 2,507"
420,Rianna,3 Bedrooms ,"3,490"
421,Three20,Studio ,"1,783 - 1,959"
422,Three20,1 Bedroom ,"2,332 - 2,471"
423,The Pearl,C,a
424,The Pearl,1 Bedroom ,"1,940 - 1,992"
425,Square One,C,a
426,Square One,C,a
427,Square One,2 Bedrooms ,"2,264 - 2,384"
428,Packard Building,Studio ,"2,111"
429,Packard Building,C,a
430,Uwajimaya Village,C,a
431,Uwajimaya Village,1 Bedroom ,"2,005"
432,Uwajimaya Village,2 Bedrooms ,"2,224"
433,The Blake Apartments,Studio ,"1,225 - 1,595"
434,The Blake Apartments,1 Bedroom ,"1,495 - 2,600"
435,The Blake Apartments,2 Bedrooms ,"2,067 - 2,675"
436,Rollin Street,1 Bedroom ,"2,275 - 3,100"
437,Rollin Street,2 Bedrooms ,"3,995 - 6,255"
438,TraVigne on 11th,1 Bedroom ,"1,646 - 2,045"
439,TraVigne on 11th,2 Bedrooms ,"2,303 - 2,540"
440,Vox,C,a
441,Vox,1 Bedroom ,"1,887 - 2,323"
442,Vox,2 Bedrooms ,"2,916 - 3,062"
443,Cedar Park Senior Affordable Apartments,C,a
444,Cedar Park Senior Affordable Apartments,1 Bedroom ,"1,309"
445,Cedar Park Senior Affordable Apartments,2 Bedrooms ,"1,562"
446,Prism,Studio ,"1,235"
447,Prism,1 Bedroom ,"1,950"
448,Prism,C,a
449,Orion,Studio ,"1,118 - 2,125"
450,Orion,1 Bedroom ,"2,307 - 3,400"
451,Orion,2 Bedrooms ,"1,895 - 4,075"
452,The Perry,C,a
453,The Perry,1 Bedroom ,"2,010 - 4,870"
454,The Perry,2 Bedrooms ,"3,275 - 5,455"
