neighborhood,zipCode,bedRoomNumber,baths,Unnamed: 0_x,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,rent,sqft,availability,deposit,leaseLength
Dunlap,98118,1,1.0,353.0,2.0,,77.0,48.0,8548.0,1127.2,750.0,,,
Dunlap,98118,2,1.0,353.0,2.0,,77.0,48.0,8553.0,1295.0,850.0,,,
Dunlap,98118,3,1.0,353.0,2.0,,77.0,48.0,8557.0,1599.0,1033.3333333333333,,,
Dunlap,98118,4,3.0,537.0,,,82.0,58.0,9655.0,3100.0,1800.0,1.0,3000.0,12.0
Eastlake,98102,1,1.0,180.7826086956522,5.0,5.155555555555556,78.43478260869566,62.76086956521739,5506.369565217391,1648.6222222222223,459.0777777777778,1.0,,
Eastlake,98102,2,1.0,208.5,5.0,6.0,81.5,57.5,5934.5,3087.0,929.75,,,
Eastlake,98102,2,2.0,234.28571428571428,5.0,6.0,80.28571428571429,60.285714285714285,5884.428571428572,2840.5714285714284,926.8571428571429,1.0,1500.0,12.0
Fairmount Park,98116,1,1.0,381.0,,1.0,92.0,54.0,9001.75,2252.7272727272725,750.5,1.0,,
Fairmount Park,98116,2,2.0,381.0,,1.0,92.0,54.0,9002.8,2758.3333333333335,988.6,,,
Fairmount Park,98126,1,1.0,143.65625,,7.645161290322581,85.03125,56.9375,4380.4375,1826.8709677419354,685.03125,1.0,,
Fairmount Park,98126,2,1.0,367.0,,2.0,88.2,54.6,8684.6,1989.0,869.4,1.0,,
Fairmount Park,98126,2,1.5,94.0,,9.0,85.0,57.0,3526.5,3227.0,1250.0,,,
Fairmount Park,98126,2,2.0,109.66666666666667,,8.222222222222221,85.0,57.0,3883.777777777778,2287.222222222222,1010.7777777777778,,,
Fauntleroy,98136,4,2.0,661.0,,,43.0,47.0,10012.0,3400.0,2290.0,,3400.0,
First Hill,98101,1,1.0,164.0253164556962,4.0,4.795918367346939,98.31645569620254,100.0,5010.835443037975,1937.1875,612.75,1.0,425.0,12.0
First Hill,98101,1,2.0,170.0,,3.0,99.0,100.0,5737.5,2570.0,838.0,,,
First Hill,98101,2,1.0,129.0,4.0,,98.0,100.0,4432.857142857143,3382.1428571428573,1110.4285714285713,1.0,,
First Hill,98101,2,2.0,172.88888888888889,4.166666666666667,5.769230769230769,98.11111111111111,100.0,5037.111111111111,3260.6666666666665,1094.8703703703704,1.0,3150.0,12.0
First Hill,98101,3,2.0,129.0,4.0,,98.0,100.0,4436.142857142857,5704.714285714285,1691.2857142857142,1.0,,
First Hill,98104,1,1.0,265.26623376623377,4.771428571428571,5.220883534136546,96.6948051948052,100.0,5639.470779220779,2099.6762295081967,639.1607142857143,1.0,,
First Hill,98104,2,1.0,267.4,5.0,8.9,97.17142857142858,100.0,5625.571428571428,2460.7272727272725,798.2857142857143,1.0,4700.0,12.0
First Hill,98104,2,2.0,287.33009708737865,5.0,2.0425531914893615,96.33009708737865,100.0,5670.281553398058,3055.4310344827586,1099.3446601941748,1.0,,
First Hill,98104,3,2.0,273.0,,4.0,96.0,100.0,7672.0,,1200.0,,,
First Hill,98122,1,1.0,369.015625,4.864583333333333,,92.27083333333333,100.0,6631.393229166667,2259.593023255814,668.9946808510638,1.0,,
First Hill,98122,2,2.0,374.6666666666667,4.888888888888889,,92.22222222222223,100.0,6673.316239316239,3184.1111111111113,1029.0309734513273,1.0,,
Fremont,98103,1,1.0,298.1860465116279,5.0,2.4166666666666665,90.84651162790698,63.437209302325584,6317.395348837209,1989.24,614.7395348837209,1.0,1000.0,12.0
Fremont,98103,1,1.5,291.8,5.0,,90.2,63.8,5405.4,,953.6,,,
Fremont,98103,2,1.0,256.75,5.0,4.5,93.25,63.75,5937.666666666667,2174.0,775.9166666666666,1.0,1750.0,12.0
Fremont,98103,2,1.5,59.0,5.0,,95.0,63.0,2608.3333333333335,2985.0,869.6666666666666,1.0,,
Fremont,98103,2,2.0,300.48333333333335,5.0,1.8,90.65,63.483333333333334,6126.016666666666,3242.8333333333335,1064.85,1.0,,
Fremont,98103,3,1.0,503.0,,,90.0,64.0,9588.0,2595.0,1100.0,,2595.0,12.0
Fremont,98103,3,2.0,389.0,,1.0,94.0,66.0,9115.0,2433.3333333333335,1101.1666666666667,,,
Fremont,98107,1,1.0,266.0,5.0,,89.0,66.0,7457.0,1621.6666666666667,661.3,1.0,,
Fremont,98107,2,2.0,266.0,5.0,,89.0,66.0,7461.0,,843.5,,,
Gatewood,98126,1,1.0,724.0,,,54.0,45.0,10504.0,1500.0,1000.0,1.0,,
Genesee,98116,1,1.0,284.7606837606838,5.0,4.546666666666667,95.73504273504274,54.0,5863.029914529914,1838.9096045197741,656.3333333333334,1.0,,
Genesee,98116,1,1.5,393.5,5.0,,97.0,54.0,6703.285714285715,2092.5,825.7142857142857,1.0,,
Genesee,98116,2,1.0,230.42857142857142,,5.0,95.0,54.0,5394.571428571428,2855.0,1064.25,1.0,,
Genesee,98116,2,2.0,289.0,5.0,5.76595744680851,95.57142857142857,54.0,5861.476190476191,2742.6530612244896,1035.1587301587301,1.0,,
Genesee,98116,3,2.5,417.0,,,96.0,54.0,9201.0,2850.0,1580.0,,2850.0,6.0
Georgetown,98108,1,1.0,544.0,,,64.0,48.0,9680.0,1550.0,505.0,1.0,1500.0,12.0
Georgetown,98108,2,1.0,700.0,,,71.0,50.0,10341.0,1595.0,1080.0,1.0,,
Green Lake,98103,3,2.0,631.0,,,82.0,57.0,9888.0,2495.0,1580.0,,,
Green Lake,98115,1,1.0,186.17910447761193,4.0,6.794117647058823,94.9950248756219,56.353233830845774,5051.28855721393,1941.861635220126,626.1019900497513,1.0,,
Green Lake,98115,2,1.0,232.76923076923077,,4.6923076923076925,93.92307692307692,56.69230769230769,6371.846153846154,2091.6666666666665,875.8461538461538,1.0,,
Green Lake,98115,2,2.0,196.6734693877551,,6.6938775510204085,95.0,56.3469387755102,5152.326530612245,3105.512195121951,1180.8265306122448,1.0,,
Greenwood,98103,1,1.0,377.85714285714283,5.0,1.0,93.47619047619048,55.142857142857146,8770.142857142857,1581.95,650.1904761904761,1.0,400.0,1.0
Greenwood,98103,2,2.0,305.0,,1.0,95.0,55.0,8313.5,2069.0,908.75,,,
Greenwood,98103,5,3.0,509.0,,,87.0,57.0,9594.0,750.0,1800.0,1.0,400.0,1.0
Greenwood,98117,1,1.0,330.6666666666667,5.0,,90.83333333333333,54.833333333333336,7772.666666666667,1599.6666666666667,626.0,1.0,,
Greenwood,98117,2,1.0,467.0,,,89.0,56.0,9472.0,2200.0,1200.0,,2200.0,12.0
Greenwood,98133,1,1.0,30.19148936170213,,5.0,84.02127659574468,57.0,861.2553191489362,1581.0526315789473,593.8404255319149,1.0,,
Greenwood,98133,2,1.0,15.0,,5.0,84.0,57.0,658.6666666666666,2122.0,858.3333333333334,1.0,,
Greenwood,98133,2,2.0,15.0,,5.0,84.0,57.0,660.5,2550.0,1054.0,1.0,,
Greenwood,98177,1,1.0,354.0,5.0,,81.0,56.0,8559.0,1650.0,650.0,,,
Haller Lake,98133,1,1.0,403.0,,2.0,86.0,60.0,9168.0,1150.0,650.0,,,
Haller Lake,98133,1,1.5,618.0,,,74.0,53.0,9875.0,2350.0,1196.0,1.0,2350.0,12.0
Haller Lake,98133,2,1.0,437.0,,,86.0,60.0,9329.0,1750.0,920.0,,500.0,12.0
Harrison/Denny Blaine,98112,3,2.0,593.0,,,88.0,55.0,9842.0,3400.0,1200.0,1.0,600.0,
High Point,98106,1,1.0,216.5,4.0,5.0,43.5,47.5,6547.875,1498.5,739.25,1.0,,
High Point,98106,2,1.0,275.5,4.0,5.0,44.875,47.625,7032.5,1775.75,886.75,1.0,1600.0,
High Point,98106,4,2.0,443.0,,,41.0,48.0,9358.0,2900.0,1980.0,1.0,2900.0,12.0
High Point,98126,1,1.0,172.0,,14.0,71.0,52.0,5791.227272727273,1823.076923076923,677.7272727272727,1.0,,
High Point,98126,2,1.0,172.0,,14.0,71.0,52.0,5798.0,2495.0,988.3333333333334,,,
High Point,98126,2,2.0,172.0,,14.0,71.0,52.0,5800.8,2695.0,980.0,,,
Highland Park,98106,1,1.0,397.0,,5.0,45.0,42.0,6723.0,1775.6666666666667,672.0,1.0,,
Highland Park,98106,2,1.0,449.0,,5.0,46.4,42.8,7377.8,1700.0,934.8,1.0,1700.0,
Highland Park,98106,2,2.0,397.0,,5.0,45.0,42.0,6724.833333333333,1912.3333333333333,966.0,1.0,,
Highland Park,98106,3,2.0,397.0,,5.0,45.0,42.0,6725.5,2451.0,1141.0,1.0,,
Highline,98146,1,1.0,412.64285714285717,,1.2307692307692308,46.214285714285715,43.0,7132.785714285715,1511.5384615384614,694.8571428571429,,500.0,
Highline,98146,2,1.0,383.625,,2.2857142857142856,43.75,,7475.375,1657.4285714285713,869.625,1.0,500.0,
Highline,98146,2,2.0,396.1764705882353,,1.1764705882352942,44.294117647058826,,6897.882352941177,1695.0,918.2352941176471,1.0,,
Highline,98146,5,3.5,642.0,,,62.0,,9919.0,5600.0,2400.0,1.0,,
Highline,98168,1,1.0,382.0,4.0,,45.0,,9019.666666666666,1286.2,647.9090909090909,1.0,,
